IRN,County,Attendance 2012-13,Attendance 2010-11,Other Elem-Sec,Attendance 2011-12,District Class 2 Effective Millage Incl JVS FY14,District Percent Of Students In Poverty FY13,District Local Revenue As % Of Total FY13,Performance Index Score 2012-13,District Average Income TY11,Adult Ed,District Median Income TY11,County Mortality Rate,County Mortality Category
044933,Franklin,95.8,95.9,236.5022791907859,96.1,49.37,0.0191,0.7585,107.180,124020.0,0.0,60889.0,15.84,med
044941,Champaign,94.5,94.9,240.33626899763516,94.9,45.9,0.5169,0.3442,96.300,43252.0,0.0,27276.0,15.28,med
044958,Montgomery,95.8,96.0,133.1869324076788,96.0,37.4,0.3159,0.5498,102.989,59302.0,0.0,34764.0,35.30,high
044966,Van Wert,96.7,96.3,178.03232131553037,96.5,43.92,0.5118,0.3256,98.883,40130.0,0.0,27849.0,10.61,low
044974,Medina,96.0,95.8,163.76842296897792,96.0,35.55,0.2238,0.4481,105.953,57141.0,0.003952923289990816,37720.0,8.13,low
044982,Auglaize,95.2,95.5,155.62972671368965,95.8,21.94,0.4435,0.3055,99.066,44293.0,0.0,31398.0,7.75,low
044990,Trumbull,92.4,92.0,124.59630351069508,92.6,46.4,0.9969,0.1609,77.715,33880.0,0.0,21523.0,21.98,med
045005,Cuyahoga,92.0,92.8,134.50638101192632,92.7,59.4,0.5933,0.5227,69.835,37517.0,0.0,25218.0,18.81,med
045013,Fayette,94.7,94.8,225.63148794381365,95.3,23.96,0.6202,0.1863,96.701,36176.0,0.0,24040.0,23.74,med
045021,Jackson,94.3,93.6,121.0666535442497,93.9,22.5,0.7425,0.1214,95.140,38087.0,0.0,28132.0,25.51,high
045039,Columbiana,94.2,94.2,274.25493353273765,94.2,22.65,0.8726,0.0927,96.103,37094.0,0.0,25574.0,14.84,med
045047,Franklin,95.5,95.8,140.70649809787733,95.7,54.62,0.3165,0.6184,102.706,66150.0,0.0,41738.0,15.84,med
045054,Montgomery,94.5,94.5,126.70052485431857,94.8,55.04,0.4704,0.4034,94.658,39216.0,0.0,28345.0,35.30,high
045062,Cuyahoga,95.4,95.4,231.8691745684985,95.5,33.45,0.1706,0.7601,106.431,101568.0,1.6209445895830086,45967.0,18.81,med
045070,Franklin,93.6,94.0,165.41443365704114,93.9,49.48,0.5862,0.2369,87.105,31902.0,0.0,23368.0,15.84,med
045088,Lake,95.8,95.2,237.52531602956688,95.4,56.97,0.3499,0.625,101.083,43903.0,0.0,31924.0,15.73,med
045096,Huron,94.6,94.4,215.38894133837718,95.0,35.91,0.5898,0.2679,95.618,39009.0,0.0,27122.0,16.35,med
045104,Lake,95.2,96.3,141.46584263788574,95.2,44.41,0.2732,0.6358,99.820,48197.0,80.4708958595264,32976.0,15.73,med
045112,Clinton,94.7,94.1,150.2191549809577,94.5,27.03,0.5523,0.4677,96.613,45416.0,0.0,29095.0,23.59,med
045120,Wayne,94.6,94.8,115.72368811911525,95.1,53.81,0.4883,0.5465,102.053,52406.0,0.0,29983.0,9.42,low
045138,Franklin,95.8,95.8,182.38009553057012,96.0,66.14,0.2531,0.6606,104.075,72762.0,0.14262140634119036,46421.0,15.84,med
045146,Hamilton,96.4,96.4,301.45419795301,96.6,39.15,0.0694,0.642,111.733,125044.0,0.0,64147.0,24.93,high
045153,Greene,94.2,94.0,115.98118979043154,94.1,35.29,0.5842,0.4226,92.927,45027.0,0.0,28955.0,18.27,med
045161,Mahoning,93.3,93.6,65.44274339692785,93.8,54.61,0.9857,0.1695,76.883,29199.0,281.3253243188927,19854.0,19.91,med
045179,Muskingum,94.2,94.0,111.9251294310311,94.0,26.79,0.7412,0.219,87.625,35687.0,0.0,21971.0,10.10,low
045195,Lorain,95.4,95.6,208.82983864266532,95.6,39.36,0.2536,0.4158,104.062,54693.0,0.0,37625.0,17.43,med
045203,Belmont,94.7,94.8,143.7387346556321,94.4,27.29,0.4266,0.2938,99.126,45817.0,0.0,29641.0,12.96,med
045211,Allen,96.0,96.1,243.29189841868043,95.9,25.05,0.2162,0.3117,107.260,50838.0,0.0,35828.0,11.16,low
045229,Miami,95.0,94.9,408.1587980880636,94.8,23.29,0.4875,0.2744,95.985,38587.0,0.0,28795.0,14.71,med
045237,Belmont,94.3,94.7,163.44363626246172,94.1,28.43,0.6044,0.2042,94.189,37951.0,0.0,24202.0,12.96,med
045245,Harrison,94.0,94.1,164.94596026486968,94.2,25.83,0.5584,0.2583,89.875,48943.0,0.0,30265.0,11.95,low
045252,Noble,94.7,94.9,245.12753740313389,94.7,27.84,0.427,0.3041,95.766,39721.0,9.420503486893756,26888.0,8.69,low
045260,Wyandot,95.7,96.2,296.42790436587194,95.9,28.77,0.3836,0.32,97.926,39638.0,0.0,30448.0,9.22,low
045278,Carroll,94.2,94.1,207.7499420119412,94.2,22.38,0.4635,0.3081,99.636,50435.0,2.444237115874788,32639.0,11.15,low
045286,Cuyahoga,95.8,95.8,374.51492080914346,95.9,56.52,0.0313,0.7624,109.249,156185.0,155.9940103660855,60516.0,18.81,med
045294,Lawrence,94.1,94.4,208.0868152771262,95.4,21.07,0.5606,0.1411,94.309,45452.0,0.0,29255.0,18.64,med
045302,Sandusky,95.7,95.2,238.43760189732274,95.8,41.88,0.4241,0.3507,99.975,40246.0,0.0,30419.0,14.34,med
045310,Mercer,96.4,97.1,305.9307205699157,96.9,36.3,0.1686,0.2927,107.026,49365.0,0.0,34175.0,9.40,low
045328,Columbiana,94.9,95.2,317.5032488960696,95.2,22.01,0.3675,0.4741,103.288,47914.0,0.0,30121.0,14.84,med
045336,Miami,96.5,96.4,401.5515486643861,96.4,24.73,0.3441,0.4009,98.083,46063.0,0.0,31602.0,14.71,med
045344,Crawford,94.2,93.7,408.74039670532255,93.7,51.36,0.6945,0.2824,87.954,34787.0,0.0,25547.0,19.25,med
045351,Perry,93.2,93.4,305.20559494588804,93.4,22.05,0.694,0.1276,91.756,36508.0,0.0,28258.0,11.12,low
045369,Lake,95.0,94.0,311.5211192740946,94.3,62.93,0.0036,0.4942,93.663,39470.0,0.0,27994.0,15.73,med
045377,Brown,93.6,93.8,191.67715441286583,93.9,23.25,0.5788,0.2163,96.677,41763.0,0.0,27875.0,27.59,high
045385,Sandusky,95.7,95.6,234.30678783758043,95.9,33.14,0.3913,0.2148,98.997,44038.0,0.0,32424.0,14.34,med
045393,Licking,95.6,96.3,262.34498092658725,96.0,54.99,0.0427,0.6055,107.950,103841.0,0.0,60193.0,12.90,med
045401,Highland,94.6,94.5,189.50359489697954,95.1,25.13,0.5744,0.23,91.585,35441.0,0.0,25895.0,21.95,med
045419,Defiance,95.0,96.5,352.723041224728,95.6,24.24,0.463,0.3161,105.000,41987.0,1.5024653829510901,29191.0,11.07,low
045427,Trumbull,94.1,94.5,246.5359197124322,94.5,38.3,0.4321,0.3028,101.441,42475.0,0.0,29198.0,21.98,med
045435,Hamilton,96.1,96.4,301.56594867146055,95.9,23.19,0.0602,0.71,111.510,275196.0,0.0,67139.0,24.93,high
045443,Columbiana,93.3,94.4,195.92727505662128,93.1,26.91,0.5371,0.1795,98.169,42550.0,0.0,28822.0,14.84,med
045450,Columbiana,93.8,93.9,232.541322225836,94.1,22.59,0.5544,0.1674,99.041,48314.0,0.0,28290.0,14.84,med
045468,Ashland,94.8,95.0,285.6031325083313,95.6,33.76,0.4539,0.4676,98.292,38338.0,0.0,27559.0,8.00,low
045476,Union,94.8,96.3,141.83552028908625,96.4,40.53,0.1573,0.4139,101.809,55143.0,0.0,41475.0,9.40,low
045484,Champaign,94.3,94.4,244.08127061933902,94.7,26.03,0.3222,0.3188,101.321,47525.0,0.0,34054.0,15.28,med
045492,Lake,95.7,95.7,162.9222027832248,95.8,46.82,0.2948,0.6073,103.251,57137.0,0.07308364003206158,38300.0,15.73,med
045500,Clermont,95.3,95.1,147.06190627448075,95.4,50.23,0.244,0.499,104.957,65675.0,0.0,42853.0,23.37,med
045518,Miami,94.8,95.4,242.31880316885633,95.1,38.33,0.4189,0.3559,99.229,46497.0,0.0,31425.0,14.71,med
045526,Williams,94.8,94.9,386.1655421920333,93.7,31.3,0.5423,0.2654,95.793,35848.0,0.0,25889.0,7.08,low
045534,Morrow,94.6,94.9,161.73572460008532,94.7,25.38,0.4243,0.3101,95.215,41252.0,0.0,29699.0,15.44,med
045542,Tuscarawas,95.1,95.0,204.22738006077455,95.0,37.8,0.6421,0.2367,94.476,36299.0,0.0,25966.0,9.13,low
045559,Clermont,95.1,94.9,150.6182228828261,95.3,26.68,0.4258,0.4531,102.678,63409.0,0.0,37745.0,23.37,med
045567,Trumbull,94.2,94.0,208.02594393993053,94.4,27.72,0.5418,0.219,98.244,41316.0,0.0,28550.0,21.98,med
045575,Paulding,95.3,95.4,315.2982541139733,94.9,25.85,0.4165,0.2988,99.543,40459.0,0.0,28128.0,8.92,low
045583,Wood,96.7,96.7,230.73603634898106,96.9,37.68,0.1095,0.6324,106.094,79616.0,0.0,50873.0,8.78,low
045591,Wayne,95.2,93.9,211.16629984601875,95.2,50.21,0.5163,0.3015,97.776,39663.0,0.0,29504.0,9.42,low
045609,Wood,95.1,95.3,302.0110341286426,94.6,41.75,0.4646,0.5404,98.496,52993.0,17.31063431777027,34334.0,8.78,low
045617,Miami,95.9,96.6,291.18424205501964,96.5,32.36,0.142,0.4549,104.953,61737.0,0.0,38945.0,14.71,med
045625,Wyandot,96.2,96.3,295.2831901572015,96.4,23.0,0.3999,0.4407,99.441,43442.0,0.0,29794.0,9.22,low
045633,Darke,96.9,97.4,318.64638848805646,97.1,26.12,0.175,0.3138,107.392,53253.0,0.0,34229.0,15.00,med
045641,Fulton,96.0,96.2,133.01583041305005,96.0,35.59,0.3819,0.3005,103.581,44850.0,0.0,31602.0,8.81,low
045658,Lorain,93.9,94.9,287.66703627960425,94.5,27.66,0.3871,0.4445,94.491,47430.0,0.0,33027.0,17.43,med
045666,Portage,93.5,93.4,289.9433435118121,93.4,37.7,0.853,0.1478,87.569,35416.0,0.0,26790.0,13.67,med
045674,Greene,95.2,95.6,186.06843593407592,95.4,44.19,0.3754,0.6011,103.159,69842.0,0.0,39547.0,18.27,med
045757,Allen,95.0,95.5,206.8818065073206,95.0,24.88,0.3787,0.2507,103.019,48004.0,0.0,34922.0,11.16,low
045765,Allen,94.6,95.0,307.8920013511792,95.1,32.3,0.5186,0.3817,101.101,46772.0,0.0,32387.0,11.16,low
045773,Allen,94.6,95.0,224.8012139533692,94.9,31.28,0.5036,0.3886,98.193,44467.0,0.0,30350.0,11.16,low
045781,Allen,94.6,94.5,311.6927076054783,94.6,27.38,0.7984,0.3311,96.551,38163.0,0.0,26317.0,11.16,low
045799,Allen,95.2,95.2,207.209358489271,95.3,32.15,0.3108,0.4802,103.973,70295.0,0.0,37346.0,11.16,low
045807,Allen,95.7,95.6,256.66776223817067,95.7,22.71,0.4323,0.3121,97.843,45857.0,0.0,32379.0,11.16,low
045823,Ashland,95.4,95.4,224.11039124534054,95.2,35.6,0.3319,0.3948,99.980,45295.0,0.0,34816.0,8.00,low
045831,Ashland,94.9,94.9,217.22227713801038,95.1,23.48,0.406,0.2888,97.225,45318.0,0.0,33572.0,8.00,low
045856,Ashtabula,94.5,95.3,215.40063364914755,95.0,35.62,0.4809,0.3327,99.570,42268.0,14.319241421476052,29326.0,20.10,med
045864,Ashtabula,94.8,95.1,136.6298962282433,95.2,23.7,0.4947,0.2744,97.743,41114.0,0.0,30682.0,20.10,med
045872,Ashtabula,94.5,94.6,179.11207327378978,94.5,26.39,0.4294,0.2995,97.080,47012.0,0.0,30870.0,20.10,med
045880,Ashtabula,94.4,94.2,246.2844575246201,94.3,29.3,0.5861,0.2838,99.269,37792.0,0.0,26544.0,20.10,med
045906,Athens,94.8,95.3,177.77756930034266,95.2,25.04,0.5139,0.2324,98.501,45895.0,0.0,31255.0,16.71,med
045914,Athens,95.5,94.7,91.33526117430685,94.3,23.75,0.6598,0.1983,90.220,41568.0,0.0,28288.0,16.71,med
045922,Athens,93.6,94.7,165.33173289983316,94.1,23.2,0.6604,0.0704,91.043,34479.0,0.0,26780.0,16.71,med
045948,Auglaize,97.2,97.4,328.0739029806408,97.3,39.87,0.1147,0.4953,109.897,61230.0,0.0,38168.0,7.75,low
045955,Auglaize,96.5,96.6,333.47435837051137,96.7,29.63,0.1015,0.4006,105.464,72080.0,0.0,37033.0,7.75,low
045963,Auglaize,97.1,97.1,288.98681641912964,97.3,26.25,0.1711,0.377,106.793,47305.0,0.0,32949.0,7.75,low
045971,Auglaize,95.4,95.7,190.67609254091283,95.6,22.0,0.3605,0.2529,98.805,47122.0,0.0,34073.0,7.75,low
045997,Belmont,94.6,95.5,259.2190968555469,94.9,21.86,0.3056,0.4557,98.163,61483.0,0.0,34745.0,12.96,med
046003,Belmont,95.4,95.7,246.1481882880557,95.2,32.43,0.2995,0.2402,95.799,44932.0,0.0,29908.0,12.96,med
046011,Belmont,94.7,95.3,115.9348304691647,94.6,22.28,0.3416,0.2062,92.952,50274.0,0.0,31769.0,12.96,med
046037,Brown,94.9,95.0,103.59407689801414,94.9,27.34,0.4929,0.2353,99.865,41904.0,0.0,29702.0,27.59,high
046045,Brown,95.7,95.4,155.3135655259506,95.7,23.56,0.4315,0.2007,98.223,45716.0,0.0,34378.0,27.59,high
046060,Brown,95.8,95.4,186.2452677089796,95.8,22.88,0.5116,0.1468,96.395,41018.0,0.0,30539.0,27.59,high
046078,Brown,94.2,93.9,115.77679618752546,94.4,26.35,0.6865,0.175,96.208,40820.0,0.0,26200.0,27.59,high
046094,Butler,94.5,94.5,173.10924275913547,94.3,33.83,0.3752,0.4073,97.281,46310.0,0.0,36010.0,27.67,high
046102,Butler,96.0,96.2,128.64296115680952,96.4,41.32,0.3425,0.487,99.342,51984.0,0.0,36096.0,27.67,high
046110,Butler,98.1,98.7,133.417462234689,97.6,40.95,0.1904,0.4828,105.814,81332.0,0.0,52467.0,27.67,high
046128,Butler,95.0,95.0,218.3421446140748,95.1,31.67,0.3606,0.3432,97.942,49330.0,0.0,35453.0,27.67,high
046136,Butler,93.7,93.9,180.13446048057108,93.4,22.63,0.9931,0.1865,89.402,32165.0,0.0,24105.0,27.67,high
046144,Butler,95.9,95.9,225.95666188868114,96.3,24.14,0.2589,0.4241,106.110,58059.0,0.0,39202.0,27.67,high
046151,Butler,95.0,95.2,263.3540802570368,95.6,26.51,0.3451,0.5932,102.395,53380.0,0.0,34073.0,27.67,high
046177,Carroll,94.1,94.1,355.5941857074104,94.6,33.49,0.4767,0.4375,93.635,48321.0,2.075180007734065,31552.0,11.15,low
046193,Champaign,95.6,95.3,192.633751922753,95.4,22.0,0.3523,0.2291,94.910,45641.0,0.0,34281.0,15.28,med
046201,Champaign,94.5,94.5,334.21131500933024,94.7,26.05,0.3733,0.3393,96.892,47692.0,0.0,34458.0,15.28,med
046219,Champaign,95.0,95.5,237.20393477000073,95.6,22.0,0.2232,0.3093,104.521,47690.0,0.0,35119.0,15.28,med
046235,Clark,94.6,94.9,217.51904249461802,94.8,31.6,0.3392,0.3937,99.729,54470.0,0.0,35677.0,24.20,high
046243,Clark,94.9,95.1,152.2245965164728,95.3,34.21,0.5219,0.2511,97.443,43759.0,0.0,29613.0,24.20,high
046250,Clark,95.0,95.3,221.57155951064453,95.3,33.01,0.2794,0.3498,99.848,51505.0,0.0,35852.0,24.20,high
046268,Clark,94.9,95.0,244.76443187863157,95.0,32.09,0.3713,0.4257,99.140,52190.0,0.0,34157.0,24.20,high
046276,Clark,95.7,95.8,347.66739179011233,95.6,28.15,0.3164,0.4044,101.273,48421.0,0.0,35287.0,24.20,high
046284,Clark,94.9,95.6,218.37379668144683,95.3,31.43,0.3703,0.4297,101.430,54090.0,0.0,33321.0,24.20,high
046300,Clermont,94.4,94.3,118.18518129724693,94.5,47.32,0.452,0.3567,98.588,53995.0,0.0,34386.0,23.37,med
046318,Clermont,94.6,94.3,140.18457868536146,95.0,28.27,0.4612,0.1936,102.122,44579.0,0.0,31905.0,23.37,med
046326,Clermont,94.4,94.2,227.74678304786954,95.1,26.71,0.4473,0.483,98.828,50726.0,0.0,34843.0,23.37,med
046334,Clermont,93.3,93.4,126.73663474864162,93.8,30.33,0.5975,0.152,93.644,41660.0,0.0,29769.0,23.37,med
046342,Clermont,94.9,95.0,122.66101124219533,95.1,24.23,0.5379,0.2933,104.173,44445.0,0.0,31838.0,23.37,med
046359,Clermont,94.6,95.0,55.93927037231686,95.3,33.98,0.3801,0.499,98.231,50214.0,0.0,34447.0,23.37,med
046367,Clermont,94.2,94.9,290.5895783484742,94.6,39.74,0.4584,0.3357,100.213,46557.0,0.0,32141.0,23.37,med
046383,Clinton,95.4,94.9,223.2205656841703,95.2,24.99,0.4779,0.1752,104.778,40833.0,0.0,30453.0,23.59,med
046391,Clinton,95.5,95.7,241.50535817407075,95.8,23.68,0.2462,0.2604,101.763,61272.0,0.0,38014.0,23.59,med
046409,Clinton,94.1,94.2,170.78258304093717,94.6,25.51,0.5777,0.1899,97.485,40023.0,0.0,28459.0,23.59,med
046425,Columbiana,94.3,94.2,171.70123125757482,94.1,27.31,0.4066,0.2826,99.346,49670.0,0.0,33266.0,14.84,med
046433,Columbiana,94.6,95.1,272.3843610000976,95.1,22.08,0.4036,0.2746,99.594,52084.0,0.0,34003.0,14.84,med
046441,Columbiana,93.8,93.3,75.91116301933758,93.7,29.85,0.5341,0.1433,96.061,49998.0,0.0,31867.0,14.84,med
046458,Columbiana,94.9,95.3,271.1716513613382,95.1,22.29,0.4582,0.2503,100.582,48434.0,3.0995579935504103,32332.0,14.84,med
046474,Coshocton,95.5,95.8,207.89782953685858,95.7,22.05,0.5712,0.2058,99.192,40145.0,0.0,29310.0,9.54,low
046482,Coshocton,95.3,95.4,152.0579859095723,95.3,22.07,0.4791,0.3912,98.044,41476.0,0.0,30011.0,9.54,low
046508,Crawford,95.1,95.3,270.4434939684163,94.9,25.83,0.4171,0.3893,98.612,43000.0,0.0,32117.0,19.25,med
046516,Crawford,95.8,96.0,361.0923655673219,95.8,37.89,0.3327,0.4059,97.592,49252.0,0.0,32845.0,19.25,med
046524,Crawford,95.8,96.0,231.34100701293303,95.9,35.54,0.4084,0.2956,97.923,43779.0,0.0,31640.0,19.25,med
046557,Cuyahoga,96.0,96.2,669.6827700739177,96.3,34.54,0.2286,0.5727,109.073,52134.0,0.0,33412.0,18.81,med
046565,Cuyahoga,95.4,95.6,427.3909991625381,95.5,33.55,0.1125,0.8176,108.115,74476.0,0.0,42233.0,18.81,med
046573,Cuyahoga,96.0,96.2,194.25668445173855,96.4,51.11,0.1766,0.5399,106.549,58700.0,10.11234833310431,41443.0,18.81,med
046581,Cuyahoga,95.6,95.7,488.9280460119814,95.6,49.91,0.1298,0.8009,106.781,230528.0,0.0,70664.0,18.81,med
046599,Cuyahoga,95.2,95.8,209.23630913154176,95.5,50.08,0.4475,0.6713,82.517,49623.0,0.0,32434.0,18.81,med
046607,Cuyahoga,96.9,96.7,149.2413205741018,96.9,55.07,0.1119,0.7002,110.906,111741.0,0.0,52848.0,18.81,med
046623,Darke,96.1,95.8,82.88669983793594,95.5,23.09,0.3663,0.2767,99.273,38694.0,0.0,30698.0,15.00,med
046631,Darke,96.0,96.0,256.5821442440572,95.9,23.89,0.2543,0.3571,98.641,45337.0,0.0,32625.0,15.00,med
046649,Darke,96.3,96.3,324.80360724421985,96.3,23.48,0.2236,0.2649,101.480,48143.0,0.0,33535.0,15.00,med
046672,Darke,96.0,96.0,115.67089313646996,96.4,22.85,0.5489,0.2717,97.175,37173.0,0.0,26369.0,15.00,med
046680,Darke,95.5,95.4,266.71528012994264,95.5,23.41,0.4499,0.3773,97.402,42368.0,0.0,31124.0,15.00,med
046706,Defiance,96.7,97.4,412.3186306913315,95.7,43.88,0.3208,0.3894,103.312,49255.0,0.0,34074.0,11.07,low
046714,Defiance,96.1,95.9,290.71232751038985,95.7,27.4,0.3496,0.3035,103.275,43041.0,0.0,31905.0,11.07,low
046722,Defiance,96.5,96.5,215.612277999651,96.3,30.02,0.2425,0.4989,104.614,54469.0,0.0,36695.0,11.07,low
046748,Delaware,94.9,95.6,160.55881659023737,95.4,30.42,0.19,0.6843,104.554,77532.0,0.0,45463.0,7.31,low
046755,Delaware,94.9,95.1,213.21838090104166,95.1,25.85,0.2473,0.6188,102.306,69663.0,0.0,47304.0,7.31,low
046763,Delaware,95.9,96.1,215.4923745849559,95.6,46.3,0.0758,0.6956,107.492,112360.0,0.0,73956.0,7.31,low
